producto_id,tienda_id,fecha,stock_actual,stock_minimo,stock_seguridad,unidades_vendidas,unidades_recibidas
2766,1,2024-09-15,52,20,8,5,0
3587,1,2024-09-15,71,30,12,48,0
2656,1,2024-09-15,39,20,8,5,100
2068,1,2024-09-15,89,20,8,5,0
2493,1,2024-09-15,71,30,12,6,100
2731,1,2024-09-15,229,50,20,29,0
2063,1,2024-09-15,274,75,30,3,0
2225,1,2024-09-15,130,30,12,1,100
2153,1,2024-09-15,112,30,12,14,0
3586,1,2024-09-15,55,40,16,53,0
2239,1,2024-09-15,196,50,20,9,0
2363,1,2024-09-15,230,75,30,2,300
3598,1,2024-09-15,159,50,20,0,0
3113,1,2024-09-15,175,50,20,0,0
2771,1,2024-09-15,170,50,20,31,50
3740,1,2024-09-15,38,30,12,18,0
2372,1,2024-09-15,30,30,12,3,0
2723,1,2024-09-15,212,50,20,5,0
3764,1,2024-09-15,82,30,12,7,300
2070,1,2024-09-15,285,75,30,20,0
2042,1,2024-09-15,0,40,16,0,0
2546,1,2024-09-15,49,30,12,7,0
3277,1,2024-09-15,320,100,40,1,0
2311,1,2024-09-15,103,30,12,42,0
2171,1,2024-09-15,139,30,12,8,0
2525,1,2024-09-15,123,40,16,1,0
3662,1,2024-09-15,119,40,16,41,0
2440,1,2024-09-15,50,30,12,3,50
2495,1,2024-09-15,51,30,12,5,0
3430,1,2024-09-15,71,20,8,6,0
2606,1,2024-09-15,0,30,12,4,0
3724,1,2024-09-15,90,30,12,11,0
2538,1,2024-09-15,28,30,12,41,0
2060,1,2024-09-15,134,30,12,20,300
2214,1,2024-09-15,174,75,30,30,0
2802,1,2024-09-15,138,30,12,14,0
2696,1,2024-09-15,311,50,20,13,0
3717,1,2024-09-15,180,50,20,28,0
3513,1,2024-09-15,87,20,8,2,150
2195,1,2024-09-15,123,30,12,14,0
3085,1,2024-09-15,139,40,16,11,200
3532,1,2024-09-15,81,40,16,13,0
2150,1,2024-09-15,98,20,8,3,0
3795,1,2024-09-15,100,50,20,19,150
3293,1,2024-09-15,38,30,12,1,0
2777,1,2024-09-15,35,30,12,17,0
3261,1,2024-09-15,83,40,16,12,0
3554,1,2024-09-15,26,30,12,0,0
3603,1,2024-09-15,114,30,12,2,0
3640,1,2024-09-15,26,20,8,12,0
3457,1,2024-09-15,21,30,12,2,0
2387,1,2024-09-15,162,40,16,2,0
3218,1,2024-09-15,312,100,40,1,0
2338,1,2024-09-15,199,50,20,19,0
2545,1,2024-09-15,198,40,16,29,0
2065,1,2024-09-15,216,50,20,46,0
2785,1,2024-09-15,92,40,16,45,0
2340,1,2024-09-15,110,30,12,22,300
2909,1,2024-09-15,29,50,20,1,0
2080,1,2024-09-15,0,50,20,12,0
3463,1,2024-09-15,88,30,12,16,0
2957,1,2024-09-15,150,40,16,50,0
3758,1,2024-09-15,20,30,12,15,0
3188,1,2024-09-15,108,40,16,34,0
3687,1,2024-09-15,113,50,20,2,0
3056,1,2024-09-15,97,40,16,0,0
2528,1,2024-09-15,197,75,30,39,0
2093,1,2024-09-15,283,100,40,2,0
3366,1,2024-09-15,55,20,8,41,0
3487,1,2024-09-15,83,20,8,9,0
2326,1,2024-09-15,59,50,20,13,0
2719,1,2024-09-15,267,100,40,11,50
3619,1,2024-09-15,358,75,30,38,0
2206,1,2024-09-15,85,20,8,15,0
2327,1,2024-09-15,135,40,16,1,0
2689,1,2024-09-15,0,40,16,50,0
