linea_id,pedido_id,producto_id,cantidad,precio_unitario,descuento_pct,total_linea
9000001,5000001,3127,2,23.96,0.0,47.92
9000002,5000001,2214,1,8.15,15.0,6.93
9000003,5000001,2095,3,7.18,0.0,21.54
9000004,5000002,2465,1,0.69,0.0,0.69
9000005,5000002,2243,2,9.41,0.0,18.82
9000006,5000002,2362,5,10.21,0.0,51.05
9000007,5000003,2193,3,20.19,10.0,54.51
9000008,5000004,2139,2,12.6,0.0,25.2
9000009,5000005,2049,2,4.13,0.0,8.26
9000010,5000005,2365,1,0.89,0.0,0.89
9000011,5000006,2006,2,4.66,0.0,9.32
9000012,5000006,2300,1,23.37,5.0,22.2
9000013,5000006,2234,1,2.36,5.0,2.24
9000014,5000007,3823,1,18.91,10.0,17.02
9000015,5000008,2404,2,11.41,15.0,19.4
9000016,5000008,2314,1,10.61,0.0,10.61
9000017,5000008,2105,2,9.93,5.0,18.87
9000018,5000009,2168,1,14.02,0.0,14.02
9000019,5000009,2267,2,3.76,0.0,7.52
9000020,5000010,3783,3,15.64,25.0,35.19
9000021,5000011,2274,3,15.25,25.0,34.31
9000022,5000011,2193,3,20.19,5.0,57.54
9000023,5000012,2314,1,10.61,0.0,10.61
9000024,5000013,2353,2,14.64,15.0,24.89
9000025,5000014,2338,1,19.16,0.0,19.16
9000026,5000014,3058,6,4.26,0.0,25.56
9000027,5000015,3158,3,5.19,0.0,15.57
9000028,5000016,2019,2,6.77,15.0,11.51
9000029,5000016,2129,2,19.63,0.0,39.26
9000030,5000017,2231,1,17.87,0.0,17.87
9000031,5000017,3648,3,17.33,0.0,51.99
9000032,5000018,2370,1,2.16,20.0,1.73
9000033,5000018,2113,2,11.65,0.0,23.3
9000034,5000018,2010,1,1.66,5.0,1.58
9000035,5000018,2129,2,19.63,0.0,39.26
9000036,5000019,2716,1,7.16,20.0,5.73
9000037,5000019,2109,1,10.44,0.0,10.44
9000038,5000019,2339,1,2.4,0.0,2.4
9000039,5000019,2213,1,22.25,0.0,22.25
9000040,5000019,2139,2,12.6,5.0,23.94
9000041,5000019,2056,1,10.74,0.0,10.74
9000042,5000019,2135,1,0.8,0.0,0.8
9000043,5000020,2085,1,5.25,0.0,5.25
9000044,5000020,2287,2,24.98,0.0,49.96
9000045,5000020,2296,1,2.28,20.0,1.82
9000046,5000021,2049,1,4.13,0.0,4.13
9000047,5000021,2156,4,10.91,0.0,43.64
9000048,5000021,2135,2,0.8,0.0,1.6
9000049,5000021,2278,2,1.34,0.0,2.68
9000050,5000021,2076,2,9.51,5.0,18.07
9000051,5000022,2234,4,2.36,5.0,8.97
9000052,5000022,2231,1,17.87,0.0,17.87
9000053,5000022,2966,1,3.0,20.0,2.4
9000054,5000022,2275,3,8.0,5.0,22.8
9000055,5000022,3695,1,24.28,0.0,24.28
9000056,5000023,2073,2,1.47,0.0,2.94
9000057,5000024,2279,1,17.13,0.0,17.13
9000058,5000024,2035,3,2.94,5.0,8.38
9000059,5000024,2180,3,11.12,0.0,33.36
9000060,5000025,2038,2,4.28,10.0,7.7
9000061,5000025,2280,1,10.24,10.0,9.22
9000062,5000025,3135,2,1.93,5.0,3.67
9000063,5000026,3783,2,15.64,0.0,31.28
9000064,5000027,2040,1,12.38,10.0,11.14
9000065,5000028,2159,1,2.46,5.0,2.34
